,Z_OPT_x,ZINDEX_x,Z_OPT_y,ZINDEX_y,ZVALID,ZSUBJECT,Z_FOK_SUBJECT,ZCLIENTHEIGHT,ZCLIENTWIDTH,ZDURATION,ZCHARACTER,Gender,Handedness,Finger
95,10,1,59,95,1,3,31744,443.0,375.0,0.3670049905776977,0,0,1,0
96,10,1,55,96,1,3,40960,443.0,375.0,0.2330160140991211,4,0,1,0
97,10,1,54,97,1,3,20480,443.0,375.0,0.4312559962272644,6,0,1,0
98,10,1,54,98,1,3,30720,443.0,375.0,0.5338340401649475,5,0,1,0
99,10,1,55,99,1,3,16384,443.0,375.0,0.2999470233917236,4,0,1,0
100,10,1,55,100,1,3,35840,443.0,375.0,0.4329689741134643,2,0,1,0
101,10,1,54,101,1,3,4096,443.0,375.0,0.414592981338501,7,0,1,0
102,10,1,54,102,1,3,28672,443.0,375.0,0.7834070324897766,5,0,1,0
103,10,1,54,103,1,3,9216,443.0,375.0,0.5832279920578003,8,0,1,0
104,10,1,54,104,1,3,32768,443.0,375.0,0.5172799825668335,6,0,1,0
105,10,1,54,105,1,3,15360,443.0,375.0,0.350206971168518,7,0,1,0
106,10,1,55,106,1,3,3072,443.0,375.0,0.233702003955841,1,0,1,0
107,10,1,55,107,1,3,22528,443.0,375.0,0.316720962524414,3,0,1,0
108,10,1,54,108,1,3,36864,443.0,375.0,0.3843029737472534,6,0,1,0
109,10,1,54,109,1,3,27648,443.0,375.0,0.3505330085754394,7,0,1,0
110,10,1,60,110,1,3,39936,443.0,375.0,0.3340499997138977,0,0,1,0
111,10,1,54,111,1,3,17408,443.0,375.0,0.5011090040206909,6,0,1,0
112,10,1,55,112,1,3,14336,443.0,375.0,0.1835019588470459,1,0,1,0
113,10,1,55,113,1,3,19456,443.0,375.0,0.4363679885864258,2,0,1,0
114,10,1,54,114,1,3,41984,443.0,375.0,0.433381974697113,8,0,1,0
115,10,1,55,115,1,3,18432,443.0,375.0,0.4840800166130066,3,0,1,0
116,10,1,56,116,1,3,29696,443.0,375.0,0.1500669717788696,1,0,1,0
117,10,1,54,117,1,3,10240,443.0,375.0,0.800117015838623,5,0,1,0
118,10,1,55,118,1,3,26624,443.0,375.0,0.5004510283470154,3,0,1,0
119,10,1,54,119,1,3,38912,443.0,375.0,0.5325819849967957,9,0,1,0
120,10,1,54,120,1,3,56320,443.0,375.0,0.4491809606552124,2,0,1,1
121,10,1,54,121,1,3,69632,443.0,375.0,0.3859160542488098,6,0,1,1
122,10,1,55,122,1,3,81920,443.0,375.0,0.3123440146446228,4,0,1,1
123,10,1,54,123,1,3,44032,443.0,375.0,0.6499660015106201,8,0,1,1
124,10,1,54,124,1,3,71680,443.0,375.0,0.2834769487380981,7,0,1,1
